state,Amount of Grants,Lat,Lon
NY,6025250,42.165726,-74.948051
GA,5522600,33.040619,-83.643074
DC,5299034,38.897438,-77.026817
CA,4816197,36.116203,-119.681564
PA,3072500,40.590752,-77.209755
CT,2518890,41.597782,-72.755371
FL,2210000,27.766279,-81.686783
MA,1190700,42.230171,-71.530106
IL,896400,40.349457,-88.986137
WA,630177,47.400902,-121.490494
AZ,495000,33.729759,-111.431221
NC,460000,35.630066,-79.806419
OH,453000,40.388783,-82.764915
MD,425000,39.063946,-76.802101
NM,380000,34.840515,-106.248482
MN,369984,45.694454,-93.900192
WV,305000,38.491226,-80.954453
LA,202000,31.169546,-91.867805
MO,151500,38.456085,-92.288368
MI,135000,43.326618,-84.536095
NJ,125000,40.298904,-74.521011
AR,100000,34.969704,-92.373123
TX,89867,31.054487,-97.563461
VA,50000,37.769337,-78.169968
NE,26000,41.12537,-98.268082
