State,Amount of Grants,Lat,Lon
CA,24406896,36.116203,-119.681564
TX,8223140,31.054487,-97.563461
MN,6688098,45.694454,-93.900192
IL,5133707,40.349457,-88.986137
CO,4848346,39.059811,-105.311104
DC,4067613,38.897438,-77.026817
NJ,3986264,40.298904,-74.521011
CT,3825490,41.597782,-72.755371
FL,2397931,27.766279,-81.686783
WA,2198975,47.400902,-121.490494
PA,2129509,40.590752,-77.209755
LA,1988598,31.169546,-91.867805
NY,1859650,42.165726,-74.948051
WI,1277000,44.268543,-89.616508
NM,1097202,34.840515,-106.248482
OK,689927,35.565342,-96.928917
OR,684214,44.572021,-122.070938
MI,627500,43.326618,-84.536095
NC,604520,35.630066,-79.806419
MA,597650,42.230171,-71.530106
MS,500000,32.741646,-89.678696
VT,484000,44.045876,-72.710686
SD,447500,44.299782,-99.438828
IA,218000,42.011539,-93.210526
MO,206400,38.456085,-92.288368
ME,205550,44.693947,-69.381927
GA,149500,33.040619,-83.643074
TN,98890,35.747845,-86.692345
RI,94925,41.680893,-71.51178
VA,89500,37.769337,-78.169968
NE,86550,41.12537,-98.268082
MD,67500,39.063946,-76.802101
OH,65000,40.388783,-82.764915
MT,55000,46.921925,-110.454353
AZ,10000,33.729759,-111.431221
