Recipient,Amount $,% of Total,Grants #,Type*
1. Center for Public Integrity,26150878,12%,171,IV/PA
2. ProPublica,23467526,11%,178,IV/PA
3. Sunlight Foundation,21350831,10%,59,IV/PA
4. Center for Investigative Reporting,18892079,9%,134,IV/PA
5. Pulitzer Center on Crisis Reporting,12449675,6%,44,F/INT
6. Pacific News Service / New America Media,12310032,6%,115,MI/ETH
7. Grist Magazine,11153542,5%,144,DV
8. Witness Inc.,9422320,4%,112,CJ
9. Franklin Center for Govt & Public Integrity,4203611,2%,47,CON
10. Brennan Center for Justice*,3200000,1%,3,LIB
11. American Independent News Network,3075482,1%,47,LIB
12. International Center for Journalists,3037850,1%,4,F/INT
13. Media Matters for America,2897635,1%,11,LIB
14. RH Reality Check,2816368,1%,12,DV
15. Marshall Project,2681800,1%,10,DV
16. Global Press Institute,2386234,1%,42,CJ
17. Next City,1985000,1%,13,DV
18. CitiScope,1900000,1%,6,DV
19. Climate Central,1600000,1%,4,DV
20. La Opinion,1574018,1%,3,MI/ETH
21. Los Angeles Times**,1560000,1%,3,IV/PA
22. Independent World TV / RealWorld News,1550487,1%,15,LIB
23. Conversation US,1370000,1%,6,IDEAS
24. Ctr for Media & Democracy / PR Watch,1305836,1%,32,LIB
25. Natural Resources News Service#,1085000,0.50%,40,DV
Total,173426204,81%,1255,--
