Funder,Amount $,% of total,Grants #,Type
1. Ford Fdn,21297316,10%,69,IF
2. The John D. & Catherine T. MacArthur Fdn,18550000,9%,23,IF
3. Omidyar Network Fund,17672846,8%,15,IF
4. Knight Fdn,9985960,5%,23,IF
5. Kendeda Fund,9390548,4%,22,IF
6. Open Society Fdn,9227803,4%,55,IF
7. California Endowment,8589358,4%,21,IF
8. Arnold Fdn,6501193,3%,4,IF
9. Gates Fdn,6318902,3%,7,FM
10. Vanguard Charitable Endowment Prgm,4549500,2%,13,PC
11. Hewlett Fdn,4080645,2%,16,IF
12. The Kohlberg Fdn,3550000,2%,7,FM
13. Marisla Foundation,3115000,1%,22,FM
14. Park Fdn,2686160,1%,56,FM
15. National Endowment for Democracy,2662574,1%,17,PC
16. Grantham Fdn for Protection of Environment,2500000,1%,10,IF
17. W. K. Kellogg Fdn,2283278,1%,7,IF
18. Rita Allen Fdn,2215000,1%,16,IF
19. Silicon Valley Community Fdn,2185075,1%,65,CM
20. Google.org,2100000,1%,1,CG
21. The Nduna Fdn,2038757,1%,4,IF
22. The Schmidt Family Fdn,2005000,1%,6,IF
23. Hellman Fdn,2000000,1%,3,IF
24. The Rockefeller Fdn,1818000,1%,10,IF
25. Carnegie Corp.,1816200,1%,9,IF
Total,149139115,69%,501,--
