Recipient,Amount $,# of Total,Grants #,Type*,State
1.Texas Tribune,6050215,8%,130,LN,TX
2.Institute for Nonprofit News**,5073576,6%,27,COL,CA
3.Bay Citizen^,4317764,5%,42,LN,CA
4.Chicago Reporter / Catalyst Chicago,3504250,4%,26,L/INV,IL
5.Center for Investigative Reporting^^,3262500,4%,15,L/INV,CA
6.MinnPost,3126635,4%,119,LN,MN
7.Voice of San Diego,3077253,4%,96,LN,CA
8.High Country News,2747775,3%,145,DV,CO
9.Connecticut News Project / CT Mirror,2435420,3%,49,LN,CT
10.New Jersey Spotlight,2412000,3%,25,LN,NJ
11.Miami Foundation+,2019980,3%,2,COL,FL
12.Center for Public Integrity+,2010083,3%,14,L/INV,DC
13.New Orleans Lens,1925598,2%,35,LN,LA
14.Crosscut Public Media (Seattle),1526507,2%,53,LN,WA
15.Tides Center / California Health Report++,1230000,2%,3,DV,CA
16.Online Journ Project / New Haven Independent~,1165088,1%,47,LN,CT
17.Texas Observer,1114839,1%,45,L/INV,TX
18.New Mexico in Depth,1078202,1%,7,L/INV,NM
19.Wisconsin Center for Investigative Journalism,1025000,1%,13,L/INV,WI
20.Geraldine Dodge Fdn / NJ News Commons~~,1002000,1%,2,COL,NJ
21.Maynard Institute for Journalism Education,985382,1%,5,L/CJ,CA
22.Henry J. Kaiser Family Fdn / Kaiser Health News,974651,1%,3,DV,CA
23.Minnesota E-Democracy,955000,1%,8,L/CJ,MN
24.Twin Cities Daily Planet,910450,1%,24,LN,MN
25.Oakland Local,831859,1%,17,LN,CA
Total,54762027,66%,952,--,--
