Funder,Amount $,% of Total,Grants #,Type,State
1. Knight Foundation,15958880,20%,55,IF,FL
2.California Endowment,5952927,7%,32,IF,CA
3.Open Society Fdn,5085000,6%,27,IF,NY
4.Ford Fdn,2875000,4%,13,IF,NY
5.Gates Fdn,2407944,3%,7,FM,WA
6. Hewlett Fdn,2020000,3%,10,IF,CA
7. McCormick Fdn,1625000,2%,17,PC,IL
8. John D. & Catherine T. MacArthur Fdn,1600000,2%,6,IF,IL
9. Haas Fund,1600000,2%,4,FM,CA
10. San Francisco Fdn,1426500,2%,22,CM,CA
11.Bush Fdn,1288739,2%,15,IF,MN
12.Omidyar Network Fund,1275000,2%,4,IF,CA
13.San Diego Fdn,1008451,1%,63,CM,CA
14.Open Society Institute,1005000,1%,7,OP,NY
15.McKnight Fdn,975000,1%,8,FM,MN
16.W. K. Kellogg Fdn,875000,1%,3,IF,MI
17.Joyce Fdn,845000,1%,5,IF,IL
18. William Penn Fdn,831039,1%,7,FM,PA
19.Seedlings Fdn,813250,1%,9,IF,CT
20.Community Fdn Greater New Haven,779953,1%,20,CM,CT
21.Austin Community Fdn,766869,1%,15,CM,TX
22.Minneapolis Fdn,696040,1%,69,CM,MN
23.Surdna Fdn,665000,1%,7,FM,NY
24.Bechtel Fdn,653000,1%,6,IF,CA
25. James Irvine Fdn,650000,1%,2,IF,CA
Total,53678592,68%,433,--,--
