Recipient,Amount $,% of Total,Grants #,State
1. Columbia Univ/ CJR /Hechinger Report /local reporting,5119000,14.30%,27,NY
2. Mercer Univ Ctr for Collaborative Journalism,4939600,13.80%,4,GA
3. AU School of Comm / IRW / Current newspaper,3696665,10.30%,28,DC
4. ASU School of Journ & Mass Comm / News21*,2595000,7.30%,4,AZ
5.Yale Univ/ Yale e360 / Yale Forum Climate Media,2273890,6.40%,5,CT
6. UC Berkeley School of Journ / Daily Californian**,2202000,6.20%,12,CA
7. UPenn School of Design / PlanPhilly#,1882500,5.30%,6,PA
8. USC Annenberg / Religion Dispatches/ News 21/,1795197,5.00%,9,CA
9.Temple Ctr for Public Interest Journ / Axis Philly,1112500,3.10%,4,PA
10. ONA Challenge Fund for Journalism Education,891000,2.50%,7,DC
11. BU College of Comm / NE Ctr Investigative Reporting,700700,2.00%,5,MA
12. GW / Planet Forward / Monkey Cage / Russia List,661400,1.90%,5,DC
13. Northwestern Univ Medill School of Journalism,634400,1.80%,5,IL
14. Stanford Univ / Stanford Social Innovation Review,600000,1.70%,4,CA
15. Raymond John Wean Fdn / Youngstown State##,443000,1.20%,3,OH
16. UMD Merrill College of Journalism,425000,1.10%,2,MD
17. University of New Mexico,380000,1.10%,1,NM
18. University of Minnesota / Ensia magazine,369984,1.00%,1,MN
19. West Virginia Reed College of Media,305000,0.90%,2,WV
20. Kennesaw State Ctr for Sustainable Journalism,290000,0.80%,5,GA
21. Boston Globe / MIT~,250000,0.70%,1,MA
22. Emory University / Religion Dispatches~~,245000,0.70%,2,GA
23. CUNY School of Journalism / Voices of NY,239950,0.70%,3,NY
24. NYU / The Local East Village,203800,0.60%,1,NY
25. University of Washington / Anthropocene Magazine,200000,0.60%,1,WA
Total,32455586,91%,147,--
