Funder,Grants $,% of Total,Grants #,Type
1. Knight Fdn,9950900,27.80%,27,IF
2. Ford Fdn,2165000,6.10%,11,IF
3. William Penn Fdn,1962500,5.50%,9,FM
4.Gordon & Betty Moore Fdn,1768874,4.90%,4,IF
5. Wyncote Foundation,1724165,4.80%,5,IF
6. John D. & Catherine T. MacArthur Fdn,1520000,4.30%,5,IF
7.W. K. Kellogg Foundation,1418000,4.00%,5,IF
8.Open Society Fdn,1416967,4.00%,15,IF
9.Carnegie Corp.,1355400,3.80%,11,IF
10.Omidyar Network Fund,1306000,3.70%,5,IF
11.Robert R. McCormick Fdn,1217000,3.40%,13,PC
12.Park Fdn,959000,2.70%,9,FM
13.The Democracy Fund,700000,2.00%,2,IF
14. Gates Fdn,545177,1.50%,4,FM
15.Grantham Fdn Protection of Environment,475000,1.30%,1,IF
16. Joyce Fdn,404919,1.10%,3,IF
17. California Endowment,400197,1.10%,2,IF
18. Henry Luce Fdn,395000,1.10%,1,IF
19. Nathan Cummings Fdn,305000,0.90%,4,FM
20. Annie E. Casey Fdn,303000,0.90%,4,IF
21.Lumina Fdn,300000,0.80%,1,IF
22.Arcus Fdn,300000,0.80%,2,IF
23.Silicon Valley Comm. Fdn,280000,0.80%,2,CM
24. Hewlett Fdn,250000,0.70%,1,IF
25. Philadelphia Fdn,250000,0.70%,1,CM
Total,31672099,89%,154,--
