Group,2010,2011,2012,2013,2014,2015
Investigative / public affairs news org,6011367,4908358,12293679,16061669,15734984,14872243
Foreign / international coverage,2674262,7954751,4246107,9759210,3422149,5805993
Liberal/left-wing news org,2284176,2301385,5154178,4950258,2421057,1603740
Subject specific deep vertical news org,2151330,4549226,6007573,5923842,7952297,5033052
Ideas/knowledge news org,n/a,320000,375000,664600,4285000,245000
National/international citizen journalism initiative,1983898,2576330,1815010,2339235,1370649,1690229
Conservative/right wing news org,1927020,1218300,1516395,1264687,1748409,909250
Minority/ethnic news org,2175125,2392850,780600,3526334,1435549,2257523
Specific beat/subject coverage,1148600,1617500,3855000,3608000,6132644,903200
Homeless/low income news org,n/a,n/a,520000,1550,936500,n/a
